CustomerAlternateKey	FirstPurchase	First	Middle	Last	Email	Phone	Line1	Line2	City	StateProvince	Country	MaritalStatus	Gender	YearlyIncome	TotalChildren	NumberChildrenAtHome	Education	Occupation	HouseOwnerFlag	NumberCarsOwned	CommuteDistance	Region	Age
AW00011026	2005-07-26	Harold		Sai	harold3@adventure-works.com	1 (11) 500 555-0131	8211 Leeds Ct.		Goulburn	NSW	AU	S	M	30000	2	0	Partial College	Clerical	0	2	1-2 Miles	Pacific	72
AW00011027	2005-07-19	Jessie	R	Zhao	jessie16@adventure-works.com	1 (11) 500 555-0184	213 Valencia Place		Warrnambool	VIC	AU	M	M	30000	2	0	Partial College	Clerical	1	2	5-10 Miles	Pacific	71
AW00011028	2005-07-29	Jill		Jimenez	jill13@adventure-works.com	1 (11) 500 555-0116	9111 Rose Ann Ave		St. Leonards	NSW	AU	M	F	30000	2	0	Partial College	Clerical	1	2	1-2 Miles	Pacific	72
AW00011029	2005-07-22	Jimmy	L	Moreno	jimmy9@adventure-works.com	1 (11) 500 555-0146	6385 Mark Twain		Bendigo	VIC	AU	M	M	30000	2	0	Partial College	Clerical	1	2	1-2 Miles	Pacific	71
AW00011030	2005-08-08	Bethany	G	Yuan	bethany10@adventure-works.com	1 (11) 500 555-0182	636 Vine Hill Way		Cloverdale	SA	AU	M	F	10000	2	1	Partial High School	Clerical	1	2	1-2 Miles	Pacific	71
AW00011031	2005-08-04	Theresa	G	Ramos	theresa13@adventure-works.com	1 (11) 500 555-0195	6465 Detroit Ave.		Matraville	NSW	AU	M	F	20000	4	0	High School	Skilled Manual	1	2	1-2 Miles	Pacific	71
AW00011032	2005-08-21	Denise		Stone	denise10@adventure-works.com	1 (11) 500 555-0169	626 Bentley Street		Melbourne	VIC	AU	M	F	20000	4	0	High School	Skilled Manual	1	2	1-2 Miles	Pacific	71
AW00011033	2005-08-18	Jaime		Nath	jaime41@adventure-works.com	1 (11) 500 555-0137	5927 Rainbow Dr		Milsons Point	NSW	AU	M	M	20000	4	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	71
AW00011034	2005-08-04	Ebony		Gonzalez	ebony19@adventure-works.com	1 (11) 500 555-0136	5167 Condor Place		North Sydney	NSW	AU	M	F	20000	4	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	71
AW00011035	2005-08-09	Wendy		Dominguez	wendy12@adventure-works.com	1 (11) 500 555-0177	1873 Mt. Whitney Dr		Cranbourne	VIC	AU	M	F	10000	2	1	Partial High School	Clerical	1	2	1-2 Miles	Pacific	70
AW00011036	2007-07-26	Jennifer	C	Russell	jennifer93@adventure-works.com	115-555-0183	3981 Augustine Drive		National City	CA	US	M	F	60000	0	0	Partial College	Skilled Manual	1	2	1-2 Miles	North America	39
AW00011037	2007-07-24	Chloe	M	Garcia	chloe27@adventure-works.com	229-555-0112	8915 Woodside Way		Cliffside	BC	CA	S	F	40000	0	0	Partial High School	Clerical	0	2	5-10 Miles	North America	40
AW00011038	2005-08-10	Diana	F	Hernandez	diana2@adventure-works.com	1 (11) 500 555-0114	8357 Sandy Cove Lane		Lavender Bay	NSW	AU	M	F	10000	2	1	Partial High School	Clerical	1	2	5-10 Miles	Pacific	70
AW00011039	2005-08-10	Marc	J	Martin	marc3@adventure-works.com	1 (11) 500 555-0183	9353 Creekside Dr.		Wollongong	NSW	AU	M	M	30000	3	0	Partial College	Clerical	1	2	5-10 Miles	Pacific	69
AW00011040	2007-10-05	Jesse		Murphy	jesse15@adventure-works.com	961-555-0176	3350 Kingswood Circle		Tacoma	WA	US	M	M	30000	0	0	Partial College	Skilled Manual	1	2	1-2 Miles	North America	41
AW00011041	2007-07-18	Amanda	M	Carter	amanda53@adventure-works.com	295-555-0145	5826 Escobar		Glendale	CA	US	M	F	60000	0	0	Partial College	Skilled Manual	1	2	1-2 Miles	North America	41
AW00011042	2007-07-25	Megan	J	Sanchez	megan28@adventure-works.com	404-555-0199	1397 Paraiso Ct.		Los Angeles	CA	US	M	F	70000	0	0	Partial College	Skilled Manual	1	2	0-1 Miles	North America	41
AW00011043	2007-11-09	Nathan	M	Simmons	nathan11@adventure-works.com	296-555-0181	1170 Shaw Rd		Glendale	CA	US	M	M	60000	0	0	Partial College	Skilled Manual	1	2	5-10 Miles	North America	42
AW00011044	2005-08-31	Adam	L	Flores	adam10@adventure-works.com	1 (11) 500 555-0163	6935 Candle Dr		Hervey Bay	QLD	AU	M	M	20000	2	1	Partial High School	Clerical	1	2	1-2 Miles	Pacific	69
AW00011045	2007-10-12	Leonard	G	Nara	leonard18@adventure-works.com	1 (11) 500 555-0151	7466 La Vista Ave.		Matraville	NSW	AU	S	M	30000	3	0	High School	Skilled Manual	0	2	1-2 Miles	Pacific	68
AW00011046	2005-08-09	Christine		Yuan	christine4@adventure-works.com	1 (11) 500 555-0113	2356 Orange St		Lavender Bay	NSW	AU	M	F	30000	3	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	68
AW00011047	2005-08-06	Jaclyn	D	Lu	jaclyn12@adventure-works.com	1 (11) 500 555-0137	2812 Mazatlan		Geelong	VIC	AU	M	F	30000	3	0	High School	Skilled Manual	0	2	1-2 Miles	Pacific	68
AW00011048	2005-08-13	Jeremy		Powell	jeremy26@adventure-works.com	1 (11) 500 555-0183	1803 Potomac Dr.		Sunbury	VIC	AU	M	M	30000	3	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	67
AW00011049	2007-09-10	Carol	C	Rai	carol8@adventure-works.com	654-555-0180	6064 Madrid		Chula Vista	CA	US	S	F	40000	0	0	Partial High School	Clerical	1	2	5-10 Miles	North America	38
AW00011050	2005-08-23	Alan		Zheng	alan23@adventure-works.com	1 (11) 500 555-0135	2741 Gainborough Dr.		Hobart	TAS	AU	M	M	30000	3	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	67
AW00011051	2008-07-01	Daniel		Johnson	daniel18@adventure-works.com	1 (11) 500 555-0155	8085 Sunnyvale Avenue		Caloundra	QLD	AU	S	M	30000	3	0	High School	Skilled Manual	0	2	1-2 Miles	Pacific	67
AW00011052	2005-08-20	Heidi		Lopez	heidi19@adventure-works.com	1 (11) 500 555-0168	2514 Via Cordona		Matraville	NSW	AU	S	F	40000	2	0	Partial College	Clerical	0	2	5-10 Miles	Pacific	67
AW00011053	2007-07-21	Ana	E	Price	ana0@adventure-works.com	859-555-0113	1660 Stonyhill Circle		San Diego	CA	US	M	F	60000	0	0	Partial College	Skilled Manual	0	2	1-2 Miles	North America	38
AW00011054	2005-08-06	Deanna		Munoz	deanna33@adventure-works.com	1 (11) 500 555-0192	5825 B Way		Geelong	VIC	AU	M	F	40000	2	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	66
AW00011055	2005-08-03	Gilbert		Raje	gilbert35@adventure-works.com	1 (11) 500 555-0129	8811 The Trees Dr.		East Brisbane	QLD	AU	M	M	40000	2	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	66
AW00011056	2005-08-29	Michele	L	Nath	michele19@adventure-works.com	1 (11) 500 555-0178	5464 Janin Pl.		Newcastle	NSW	AU	M	F	40000	3	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	65
AW00011057	2005-08-25	Carl	J	Andersen	carl12@adventure-works.com	1 (11) 500 555-0181	6930 Lake Nadine Place		Lane Cove	NSW	AU	M	M	70000	2	0	Graduate Degree	Management	1	2	1-2 Miles	Pacific	65
AW00011058	2005-09-09	Marc		Diaz	marc6@adventure-works.com	1 (11) 500 555-0149	6645 Sinaloa		Findon	SA	AU	M	M	80000	2	0	Partial College	Skilled Manual	1	2	1-2 Miles	Pacific	64
AW00011059	2007-08-22	Ashlee	J	Andersen	ashlee19@adventure-works.com	1 (11) 500 555-0112	8255 Highland Road		Townsville	QLD	AU	S	F	80000	2	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	64
AW00011060	2005-09-19	Jon	L	Zhou	jon28@adventure-works.com	1 (11) 500 555-0174	6574 Hemlock Ave.		Warrnambool	VIC	AU	M	M	80000	2	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	64
AW00011061	2005-09-13	Todd	M	Gao	todd14@adventure-works.com	1 (11) 500 555-0191	8808 Geneva Ave		Gold Coast	QLD	AU	M	M	80000	2	0	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	64
AW00011062	2007-07-11	Noah	D	Powell	noah5@adventure-works.com	767-555-0113	9794 Marion Ct		Portland	OR	US	M	M	40000	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	43
AW00011063	2007-07-16	Angela		Murphy	angela41@adventure-works.com	451-555-0162	4927 Virgil Street	# 21	Redmond	WA	US	S	F	40000	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	43
AW00011064	2007-07-29	Chase		Reed	chase21@adventure-works.com	892-555-0184	2721 Alexander Pl.		Downey	CA	US	M	M	40000	0	0	High School	Skilled Manual	1	2	5-10 Miles	North America	42
AW00011065	2007-08-14	Jessica		Henderson	jessica29@adventure-works.com	278-555-0186	9343 Ironwood Way		La Jolla	CA	US	M	F	60000	0	0	Partial College	Skilled Manual	0	2	1-2 Miles	North America	45
AW00011066	2007-12-02	Grace	T	Butler	grace62@adventure-works.com	712-555-0141	4739 Garden Ave.		Lebanon	OR	US	M	F	70000	0	0	Partial College	Professional	1	2	5-10 Miles	North America	44
AW00011067	2008-02-19	Caleb	F	Carter	caleb40@adventure-works.com	944-555-0167	9563 Pennsylvania Blvd.		Port Orchard	WA	US	S	M	60000	0	0	Partial College	Professional	1	2	5-10 Miles	North America	42
AW00011068	2007-11-01	Tiffany		Liang	tiffany17@adventure-works.com	1 (11) 500 555-0177	3608 Sinclair Avenue	# 701	Warrnambool	VIC	AU	S	F	80000	2	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	63
AW00011069	2005-10-18	Carolyn		Navarro	carolyn30@adventure-works.com	1 (11) 500 555-0145	4606 Springwood Court		Gold Coast	QLD	AU	S	F	80000	2	0	High School	Skilled Manual	0	2	1-2 Miles	Pacific	63
AW00011070	2005-10-29	Willie	T	Raji	willie40@adventure-works.com	1 (11) 500 555-0151	6260 Vernal Drive		Sunbury	VIC	AU	M	M	80000	2	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	63
AW00011071	2007-09-02	Linda		Serrano	linda31@adventure-works.com	1 (11) 500 555-0130	9808 Shaw Rd.		Hawthorne	QLD	AU	S	F	80000	2	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	63
AW00011072	2005-10-01	Casey		Luo	casey6@adventure-works.com	1 (11) 500 555-0125	9513 Roslyn Drive		St. Leonards	NSW	AU	S	F	80000	2	0	High School	Skilled Manual	0	2	1-2 Miles	Pacific	63
AW00011073	2007-09-24	Amy		Ye	amy16@adventure-works.com	1 (11) 500 555-0185	2262 Kirkwood Ct.		Springwood	NSW	AU	S	F	70000	2	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	62
AW00011074	2007-09-24	Levi	A	Arun	levi6@adventure-works.com	1 (11) 500 555-0127	4661 Bluetail		Cloverdale	SA	AU	S	M	70000	2	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	62
AW00011075	2005-10-29	Felicia	L	Jimenez	felicia4@adventure-works.com	1 (11) 500 555-0165	786 Eastgate Ave		Bendigo	VIC	AU	S	F	80000	2	0	High School	Professional	1	2	5-10 Miles	Pacific	60
AW00011076	2005-10-22	Blake		Anderson	blake9@adventure-works.com	1 (11) 500 555-0113	5436 Clear	# 101	Wollongong	NSW	AU	S	M	80000	2	0	High School	Professional	1	2	5-10 Miles	Pacific	61
AW00011077	2005-10-16	Leah		Ye	leah7@adventure-works.com	1 (11) 500 555-0154	1291 Arguello Blvd.		Melton	VIC	AU	S	F	80000	2	0	High School	Professional	0	2	1-2 Miles	Pacific	61
AW00011078	2007-08-19	Gina	E	Martin	gina1@adventure-works.com	196-555-0114	1349 Sol St.		Cliffside	BC	CA	S	F	40000	0	0	High School	Professional	0	2	1-2 Miles	North America	44
AW00011079	2007-09-16	Donald		Gonzalez	donald20@adventure-works.com	1 (11) 500 555-0137	4236 Malibu Place		Geelong	VIC	AU	S	M	160000	0	0	Graduate Degree	Management	1	2	0-1 Miles	Pacific	59
AW00011080	2005-10-11	Damien		Chander	damien32@adventure-works.com	1 (11) 500 555-0111	9941 Stonehedge Dr.		Perth	SA	AU	M	M	170000	0	0	Graduate Degree	Management	1	2	0-1 Miles	Pacific	59
AW00011081	2007-08-16	Savannah	C	Baker	savannah39@adventure-works.com	478-555-0117	1210 Trafalgar Circle		Concord	CA	US	M	F	120000	2	2	Bachelors	Management	1	3	2-5 Miles	North America	52
AW00011082	2007-07-26	Angela	L	Butler	angela17@adventure-works.com	579-555-0195	6040 Listing Ct		Fremont	CA	US	S	F	130000	0	1	Graduate Degree	Management	0	3	1-2 Miles	North America	52
AW00011083	2007-07-10	Alyssa	F	Cox	alyssa37@adventure-works.com	561-555-0140	867 La Orinda Place		Lincoln Acres	CA	US	M	F	130000	0	1	Graduate Degree	Management	1	3	1-2 Miles	North America	52
AW00011084	2007-07-08	Lucas		Phillips	lucas7@adventure-works.com	863-555-0172	8668 St. Celestine Court		Lebanon	OR	US	S	M	80000	2	0	Partial High School	Skilled Manual	0	2	1-2 Miles	North America	61
AW00011085	2008-06-08	Emily		Johnson	emily1@adventure-works.com	850-555-0184	7926 Stephanie Way		Newport Beach	CA	US	S	F	60000	2	0	High School	Professional	0	2	5-10 Miles	North America	61
AW00011086	2008-01-03	Ryan		Brown	ryan43@adventure-works.com	539-555-0198	2939 Wesley Ct.		Santa Monica	CA	US	M	M	70000	2	1	Partial College	Professional	1	0	0-1 Miles	North America	60
AW00011087	2007-08-29	Tamara	L	Liang	tamara6@adventure-works.com	178-555-0152	3791 Rossmor Parkway		Chula Vista	CA	US	M	F	70000	3	2	Partial College	Professional	0	0	0-1 Miles	North America	61
AW00011088	2007-07-17	Hunter		Davis	hunter64@adventure-works.com	612-555-0141	4308 Sand Pointe Lane		San Diego	CA	US	M	M	80000	2	1	Bachelors	Management	1	0	2-5 Miles	North America	60
AW00011089	2007-07-02	Abigail	M	Price	abigail25@adventure-works.com	532-555-0117	2685 Blackburn Ct		Long Beach	CA	US	S	F	80000	2	1	Bachelors	Management	1	1	2-5 Miles	North America	61
AW00011090	2006-02-07	Trevor		Bryant	trevor18@adventure-works.com	853-555-0174	5781 Sharon Dr.		Los Angeles	CA	US	S	M	90000	2	0	Partial College	Professional	1	1	2-5 Miles	North America	60
AW00011091	2007-08-02	Dalton		Perez	dalton37@adventure-works.com	559-555-0115	6083 San Jose		Haney	BC	CA	M	M	90000	2	0	Partial College	Professional	1	1	5-10 Miles	North America	61
AW00011092	2005-10-09	Cheryl	A	Diaz	cheryl4@adventure-works.com	1 (11) 500 555-0192	7297 Kaywood Drive		East Brisbane	QLD	AU	M	F	90000	2	2	Bachelors	Professional	1	0	1-2 Miles	Pacific	51
AW00011093	2005-10-08	Aimee	A	He	aimee13@adventure-works.com	1 (11) 500 555-0161	1833 Olympic Drive		Wollongong	NSW	AU	M	F	100000	0	0	Graduate Degree	Management	1	0	0-1 Miles	Pacific	51
AW00011094	2007-10-09	Cedric	W	Ma	cedric15@adventure-works.com	1 (11) 500 555-0115	3407 Oak Brook Place		Cranbourne	VIC	AU	S	M	70000	1	0	Partial College	Skilled Manual	0	1	0-1 Miles	Pacific	56
AW00011095	2005-10-02	Chad		Kumar	chad9@adventure-works.com	1 (11) 500 555-0151	1681 Lighthouse Way		Port Macquarie	NSW	AU	S	M	70000	1	0	Partial College	Skilled Manual	1	1	5-10 Miles	Pacific	56
AW00011096	2005-10-12	Andrés		Anand	andrés18@adventure-works.com	1 (11) 500 555-0184	5423 Los Gatos Ct.		North Sydney	NSW	AU	M	M	60000	1	0	Bachelors	Professional	1	1	5-10 Miles	Pacific	56
AW00011097	2005-10-05	Edwin	R	Nara	edwin39@adventure-works.com	1 (11) 500 555-0112	719 William Way		Warrnambool	VIC	AU	M	M	60000	1	0	Partial College	Skilled Manual	1	1	5-10 Miles	Pacific	57
AW00011098	2007-08-15	Mallory	S	Rubio	mallory7@adventure-works.com	1 (11) 500 555-0157	6452 Harris Circle		Rhodes	NSW	AU	S	F	60000	1	0	Partial College	Skilled Manual	0	1	0-1 Miles	Pacific	57
AW00011099	2005-10-08	Adam		Ross	adam2@adventure-works.com	1 (11) 500 555-0186	4378 Westminster Place		Port Macquarie	NSW	AU	M	M	60000	1	0	Bachelors	Professional	1	1	0-1 Miles	Pacific	57
AW00011100	2005-10-17	Latasha	L	Navarro	latasha10@adventure-works.com	1 (11) 500 555-0123	6954 Ranch Road		Cloverdale	SA	AU	S	F	60000	1	0	Partial College	Skilled Manual	1	1	5-10 Miles	Pacific	58
AW00011101	2005-10-30	Abby	L	Sai	abby4@adventure-works.com	1 (11) 500 555-0174	7074 N. Spoonwood Court		Cranbourne	VIC	AU	S	F	70000	0	0	Bachelors	Professional	0	1	0-1 Miles	Pacific	53
AW00011102	2008-01-17	Julia	L	Nelson	julia7@adventure-works.com	1 (11) 500 555-0124	2196 Coat Ct.		Sydney	NSW	AU	S	F	80000	5	5	Bachelors	Professional	1	4	1-2 Miles	Pacific	53
AW00011103	2005-10-16	Cassie		Chande	cassie13@adventure-works.com	1 (11) 500 555-0166	9448 San Marino Ct.		Darlinghurst	NSW	AU	S	F	70000	0	0	Bachelors	Professional	1	1	5-10 Miles	Pacific	54
AW00011104	2005-11-04	Edgar	A	Sara	edgar11@adventure-works.com	1 (11) 500 555-0125	6127 Lilly Lane		Gold Coast	QLD	AU	M	M	70000	0	0	Bachelors	Professional	0	1	0-1 Miles	Pacific	54
AW00011105	2005-11-14	Candace		Fernandez	candace15@adventure-works.com	1 (11) 500 555-0162	5029 Blue Ridge		Matraville	NSW	AU	S	F	70000	0	0	Bachelors	Professional	0	1	5-10 Miles	Pacific	53
AW00011106	2005-11-18	Jessie		Liu	jessie9@adventure-works.com	1 (11) 500 555-0163	3063 Blue Jay Drive		Warrnambool	VIC	AU	S	M	70000	0	0	Bachelors	Professional	0	1	5-10 Miles	Pacific	54
AW00011107	2005-11-01	Bianca		Lin	bianca7@adventure-works.com	1 (11) 500 555-0121	7530 Eola		St. Leonards	NSW	AU	M	F	90000	1	0	Bachelors	Professional	1	1	5-10 Miles	Pacific	59
AW00011108	2005-11-03	Kari	C	Alvarez	kari25@adventure-works.com	1 (11) 500 555-0169	9178 Thornhill Place		Port Macquarie	NSW	AU	S	F	70000	0	0	Bachelors	Professional	0	2	0-1 Miles	Pacific	55
AW00011109	2005-11-10	Ruben	D	Kapoor	ruben1@adventure-works.com	1 (11) 500 555-0132	1984 Glendale Circle		South Melbourne	VIC	AU	S	M	70000	0	0	Bachelors	Professional	0	2	0-1 Miles	Pacific	55
AW00011110	2005-11-01	Curtis		Yang	curtis5@adventure-works.com	1 (11) 500 555-0127	4052 Mt. Wilson Way		Darlinghurst	NSW	AU	M	M	60000	1	0	Partial College	Skilled Manual	1	1	5-10 Miles	Pacific	56
AW00011111	2005-11-20	Meredith	T	Gutierrez	meredith34@adventure-works.com	1 (11) 500 555-0179	7610 Northridge Ct.		Geelong	VIC	AU	M	F	60000	1	0	Partial College	Skilled Manual	1	1	0-1 Miles	Pacific	56
AW00011112	2005-11-25	Crystal	C	Wang	crystal3@adventure-works.com	1 (11) 500 555-0134	2773 Kirkwood Dr		Hervey Bay	QLD	AU	M	F	60000	1	0	Partial College	Skilled Manual	1	1	0-1 Miles	Pacific	56
AW00011113	2007-08-05	Micheal	A	Blanco	micheal11@adventure-works.com	1 (11) 500 555-0131	596 Marfargoa Drive		Perth	SA	AU	M	M	70000	5	4	Bachelors	Professional	1	2	5-10 Miles	Pacific	56
AW00011114	2007-09-19	Leslie	C	Moreno	leslie7@adventure-works.com	1 (11) 500 555-0115	7941 Cristobal		Rhodes	NSW	AU	S	F	70000	5	4	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	56
AW00011115	2007-08-14	Alvin	D	Cai	alvin20@adventure-works.com	1 (11) 500 555-0191	7759 Azalea Avenue		St. Leonards	NSW	AU	M	M	70000	5	4	Partial College	Skilled Manual	1	2	0-1 Miles	Pacific	56
AW00011116	2007-09-16	Clinton	E	Carlson	clinton14@adventure-works.com	1 (11) 500 555-0184	7943 Cunha Ct.		Sydney	NSW	AU	M	M	70000	5	4	Partial College	Skilled Manual	1	2	5-10 Miles	Pacific	56
AW00011117	2005-11-06	April		Deng	april1@adventure-works.com	1 (11) 500 555-0182	485 Ash Lane		Matraville	NSW	AU	M	F	70000	5	4	Partial College	Skilled Manual	1	3	10+ Miles	Pacific	57
AW00011118	2008-01-11	Alvin	M	Zeng	alvin21@adventure-works.com	1 (11) 500 555-0174	3853 Wildcat Circle	Unit 13c12	Lavender Bay	NSW	AU	S	M	80000	1	0	Partial College	Skilled Manual	0	1	0-1 Miles	Pacific	61
AW00011119	2007-08-07	Evan	V	James	evan8@adventure-works.com	1 (11) 500 555-0187	4157 Sierra Ridge		Port Macquarie	NSW	AU	S	M	30000	2	0	Partial College	Clerical	0	2	0-1 Miles	Pacific	83
AW00011120	2005-11-14	Beth	H	Jiménez	beth8@adventure-works.com	1 (11) 500 555-0164	7401 Las Palmas		Sydney	NSW	AU	S	F	40000	2	0	Bachelors	Management	1	1	5-10 Miles	Pacific	82
AW00011121	2007-12-26	Orlando		Suarez	orlando19@adventure-works.com	1 (11) 500 555-0198	7743 Hames Dr		Newcastle	NSW	AU	M	M	70000	5	4	Partial College	Skilled Manual	1	3	10+ Miles	Pacific	57
AW00011122	2007-08-25	Byron		Vazquez	byron9@adventure-works.com	1 (11) 500 555-0136	3187 Hackamore Lane		North Sydney	NSW	AU	M	M	70000	5	4	Partial College	Skilled Manual	1	3	5-10 Miles	Pacific	58
